厦门合兴包装印刷股份有限公司,AA 展望:稳定,中诚信国际信用评级有限责任公司,新疆兴汇聚股权投资管理有限合伙企业(持股33.96%),纸包装,民营企业,6/10,产业,-,,包装印刷,公司主要从事瓦楞包装行业，瓦楞包装行业需个性化定制，且存在销售半径，未来随着电子商务的进一步发展，瓦楞包装的需求预计仍有一定增长。从进入门槛看，瓦楞纸进入门槛低，中小生产厂商多，竞争激烈。目前环保张政策趋严对造纸大企业有利。,民营A股上市公司，目前A股市值约51亿元。,公司是我国瓦楞包装行业的龙头企业，有较好的规模优势和行业地位，目前积累的客户较多。近年主要受益于公司内部新产能释放以及外部的并购扩张，公司收入持续增长，但毛利率持续下降。,公司目前资产负债率适中，有息债务规模不大，近年EBITDA和经营净现金流入对有息债务的覆盖倍数尚可。,环保政策对造纸行业的影响；纸浆价格变化对公司经营的影响。
内蒙古君正能源化工集团股份有限公司,AA+ 展望:稳定,联合资信评估有限公司,杜江涛(持股31.95%),基础化工,民营企业,6/10,产业,公司为内蒙氯碱化工企业，具有规模和成本优势，但近年并购过多，关注并购风险。,,化学原料,氯碱产品价格提升提升行业盈利，但行业仍存在一定产能能过剩，未来将淘汰成本高的企业。,民营上市公司(君正集团 601216.SH)，实际控制人为杜江涛，实际控制人持有的公司股权质押率较高。曾因信息披露问题收到收到内蒙古证监局警示函的公告。,公司是内蒙氯碱化工企业，截至2018年9月底，公司氯碱化工板块合计拥有年产80万吨PVC、55 万吨烧碱、140万吨白灰、115万吨电石和135万吨水泥熟料的年生产能力。近年公司并购较多，2015年底收购华泰保险仍在银保监会审核，收购中化国际中，后续进展有待关注。,公司资产规模一般，近年来持续大规模股权并购；债务率不高，但债务短期化，资金压力较大。公司盈利持续增长，但收现比持续较低，关注收益质量。,并购风险
中天科技集团有限公司,AA+ 展望:稳定,上海新世纪资信评估投资服务有限公司,薛济萍(持股65%),综合电信服务,民营企业,6/10,产业,公司在光纤电缆行业具有较强竞争力，海底电缆发展潜力较大；同时优质资产集中在上市子公司。对下游客户依赖度较大；,,通信设备,光纤电缆行业受益于我国宽带政策光进铜退影响，整体景气度较高；三大运营商对光纤需求量仍较高，上游供应商订单主要集中在长飞、亨通、富通、中天科技等几家公司之间，短期内预计竞争格局保持稳定；,民营背景，自然人薛济萍持有公司65%的股权。此外公司持有上市公司中天科技（600522）25.05%的股权，截止2019年1月7日，已质押2.64%的股权，股东仍有一定外部支持能力。,公司主要产品为光纤光缆、海底电缆等，并涉足新能源光伏业务。公司下游客户主要是三大电信运营商，通过投标获取订单，光纤主要原材料是光纤预制棒，截至17年末公司投产光纤预制棒达到1500吨/年，自给率超过99%，成本控制能力大为提高。导线及电缆业务产品主要集中在装备电缆方面，销售给电力及电网公司；公司是海底电缆龙头企业，年产能3000公里，但产能利用率仅30%左右；光伏新能源业务规模不大，短期内对公司主业影响有限；总体来看，公司是国内五大主要光纤光缆制造企业之一，不过线缆行业集中度低，竞争较为激烈，公司仍面临一定竞争压力。,公司主业整体盈利能力保持稳定，不过15年以来有色金属贸易业务拉低了整体毛利率水平；公司目前存量债务增加至54亿，但EBITDA也稳步提升，近年来偿债能力处于较强水平。且公司账面货币现金相对充裕，对短期借款保障度较高。,新能源业务后续投资风险；三大运营商订单减少风险；
贵州开磷集团股份有限公司,AA 展望:负面,中证鹏元资信评估股份有限公司,贵州开磷控股(集团)有限责任公司(持股43.58%),金属非金属,地方国有企业,6/10,产业,-,,化学原料,-,-,-,-,-
山西煤炭进出口集团有限公司,AA+ 展望:稳定,上海新世纪资信评估投资服务有限公司,山西省国有资本投资运营有限公司(持股100%),贸易公司与工业品经销商,地方国有企业,6/10,产业,公司是山西省七家煤炭资源整合主体之一，得到政策的支持，但是规模相对其他几家偏小，为煤炭贸易为主业的企业。,,专业零售,煤炭行业属于强周期行业，经过供给侧改革，行业供需有所改善，企业盈利情况明显好转。,公司实际控制人为山西省国资委，外部支持力度较大。,公司主营煤炭生产和煤炭贸易，煤炭生产方面，由于人员负担较轻，煤炭资源获取的时间较早，煤炭生产业务的毛利率水平较山西其他国有企业高，但规模相对偏小。煤炭贸易方面，公司体量较大，拥有煤炭出口资质，但是存在下游客户逾期未付账款等未决诉讼情况，近年资产减值损失较大。,19年3月末公司资产负债率达到78.7%，有息债务规模较大，盈利能力较弱，利息覆盖能力不强。优势是能够得到政府的支持，融资渠道尚且畅通。,公司未决诉讼情况；煤炭行业景气度
如东县通泰农业发展有限公司,AA 展望:稳定,中诚信证券评估有限公司,如东县投资管理办公室(持股100%),建筑与工程,地方国有企业,6/10,产业,-,,,-,-,-,-,-
昆明市高速公路建设开发股份有限公司,AA+ 展望:稳定,上海新世纪资信评估投资服务有限公司,昆明市人民政府国有资产监督管理委员会(持股52%),建筑与工程,地方国有企业,6/10,产业,-,,,-,-,-,-,-
南京市文化投资控股集团有限责任公司,AA 展望:稳定,上海新世纪资信评估投资服务有限公司,南京市财政局(持股100%),电影与娱乐,地方国有企业,6/10,产业,"南京市属唯一的国有经营性文化资产运营主体,规模较小，实力一般。",,文化传媒,文化产业，尤其是中小企业，产品收益难以预期，行业风险较高。,南京市财政局全资控股，有一定的支持意愿。,公司为南京市属唯一的国有经营性文化资产运营主体，成立时间较短，主要业务涉及影院运营、演艺娱乐、艺术品综合经营、文化金融服务和重点文化项目投资建设，目前主要盈利来自艺术品综合经营及文化金融服务板块，需关注文化金融业务风险控制情况，文旅板块尚处于投入初期，南京市旅游资源丰富，面临较为激烈的竞争。,公司绝大部分资产为在建工程，现阶段盈利水平低，依赖财政补贴扭亏，大报恩寺后续转固后将加大折旧开支，大报恩寺项目一期工程借款将于2018年逐渐进入还款期，需关注相关文旅资产运行及财政支持力度情况。,大报恩寺项目运行情况、政府支持力度变化、文化金融业务风险
哈尔滨工业投资集团有限公司,AA 展望:稳定,大公国际资信评估有限公司,哈尔滨市国有资产监督管理委员会(持股100%),综合类行业,地方国有企业,6/10,产业,-,,综合,-,-,-,-,-
江苏永钢集团有限公司,AA+ 展望:稳定,联合信用评级有限公司,张家港市永润投资发展有限公司(持股39.7%),贵金属与矿石,民营企业,6/10,产业,公司为民营大型钢铁企业，盈利和现金流边际改善明显，但债务期限结构比较弱，本期债券由实际控制人提供连带责任担保，效果有限。,,钢铁,钢铁行业供给侧改革显著改善了该行业的供需格局，使得该行业目前景气度较佳，后续需持续关注供给侧改革的持续推进情况。,公司为民营非上市企业，目前吴耀芳、吴惠芳和吴惠英兄弟（妹）合计持有公45.83%股份，为公司实际控制人。,公司以钢铁产品生产和销售为主业，截至2018年末，公司生铁、粗钢、钢材产能分别达到800万吨/年、800万吨/年、800万吨/年，具有一定的规模优势，且生产的螺纹钢在江苏省有一定的市场占有率和市场知名度。2017-2018年以来，受益于供给侧改革和钢材价格一路走高，公司收入和盈利大幅增长。公司人员负担较轻，吨钢人工成本较低，成本优势较为明显。另外，公司拥有三座码头，有运输方面的优势。除钢铁业务之外，公司其他业务如贸易和工程施工等业务规模偏小，且盈利能力很低，对公司业绩整体贡献不大。,公司整体杠杆水平较高，但受益于盈利和现金流大幅改善，公司负债压力边际逐步改善，2018年末，有息债务已下降至159亿元；且公司股权结构变动后，资本实力有所增强。公司其他应收款规模虽有所压缩仍较大，资产整体受限比例较高，短期债务占比高。,铁矿石价格波动风险、应收款的回收风险、历史欠息、对外担保。
北大方正集团有限公司,AAA 展望:稳定,联合资信评估有限公司,北大资产经营有限公司(持股70%),互联网软件与服务,中央国有企业,6/10,产业,公司为北大旗下集团，可获得较多科研支持以及校友资源。面对校企类改革的不确定性，以及集团母公司层面财务信息的不透明，投资者对此类企业信心下降。,,计算机应用,多元化经营的综合企业可分散单一经营风险，但需关注对各个板块的实际控制和协同效应。,公司为北大旗下集团，可获得较多科研支持以及校友资源；公司为校企，非央企。,"多元化经营，公司业务涉及信息技术、医药医疗、金融证券、大宗商品贸易、钢铁等；IT产业方面，已完成PCB产业布局，珠海、重庆PCB产业园已相继投产，其综合年产能达到1,500万平方尺，位居国内内资PCB生产能力首位，芯片制造和IT软件国内竞争实力强；医疗医药方面，公司旗下的北大医疗产业集团、大新药业和北大医药，构建了医院、医药研发生产的产业链；金融方面，方正证券业务尚可，但存在市场风险；关注公司及下属子公司方正证券、方正科技、中国高科和北大医药于2017年收到中国证监会的《行政处罚决定书》。",财务规模较大，具有一定抗风险能力；财务杠杆偏高，19年3月末，负债率82%，存在债务压力；公司制造业板块盈利能力一般，利润主要来自金融板块，但2017年净利润大幅下滑，2018年依赖投资类业务获利回升，但19年1季度又亏损。,证监会处罚、管理和控制力度、盈利下滑、债务压力；集团母公司层面大额其他应收款的可回收性。
魏桥纺织股份有限公司,AA 展望:稳定,大公国际资信评估有限公司,山东魏桥创业集团有限公司(持股62.37%),纺织品,民营企业,6/10,产业,-,,纺织制造,-,-,-,-,-



连云港市金融控股集团有限公司,AA+ 展望:稳定,上海新世纪资信评估投资服务有限公司,江苏金海投资有限公司(持股100%),多领域控股,地方国有企业,6/10,产业,-,,,-,-,-,-,-
国家电投集团新疆能源化工有限责任公司,AA 展望:稳定,中诚信国际信用评级有限责任公司,国家电力投资集团公司(持股67.94%),电力,中央国有企业,6/10,产业,央企国电投控股的区域性新能源发电企业，因所处区域新疆电力供需不平衡且电网建设滞后弃风弃光明显，公司经营能力偏弱，财务杠杆偏高，整体资质偏弱,,电力,新能源行业政策支持力度较大，行业发展前景较好；上网电价下调和电力需求放缓导致弃风限电严重影响行业盈利状况；火力发电，受煤价上涨因素，行业盈利面临压力。,央企国电投控股新能源发电企业，享受税收优惠政策外部支持力度较大。,公司主营电力（含火电、风电和光伏发电）、煤炭和制盐板块，17年末可控总装机容量290.3万千瓦，清洁能源占比超77.26%，但因公司地处新疆区域电力供需不平衡且电网建设滞后弃风弃光明显，公司当前盈利能力弱。,公司财务杠杆高且即期偿债压力较大，在建项目规模大面临一定融资压力，考虑股东支持总体财务风险可控。,区域弃风弃光情况；再融资情况；煤价波动情况
深圳华强集团有限公司,AA+ 展望:稳定,联合资信评估有限公司,深圳华强合丰投资股份有限公司(持股45%),综合类行业,民营企业,6/10,产业,公司为民营企业，主营文化科技、电子信息服务及地产业务，债务负担偏重。,,综合,民企，主要从事文化科技产业、电子信息服务、房地产业务；地产受政策调控，房企融资受限,公司实际控制人梁光伟，由国企改制而来，2009年媒体曾爆存在国资流失,旗下有上市公司深圳华强、新三板上市公司华强方特和华强电商，主要从事文化科技产业、电子信息服务、房地产业务，土地集中在三四线城市资金占用明显；近年公司不断进行资本运作，并购、定增，扩大电子元器件分销业务，扩容文化科技公园。目前公司盈利能力最强的板块为文化科技公园，毛利率达到70%以上，收入规模上升至30亿以上，公司主要盈利点依赖于此。公司除地产业务以外，其余业务均属贸易差价型，需要占用较大规模营运资金。,公司财务杠杆偏高且本部债务负担重，截止2019年一季度，负债率65.66%，短期借款规模大，存在一定的即期偿付压力。其他应收款规模大，占用公司资金；应付债券主要集中在本部。存在一定的财务风险。,资金占用、资产变现及融资弹性
湖北嘉康建设工程有限公司,-,-,嘉鱼县城镇建设投资有限公司(持股100%),建筑与工程,地方国有企业,6/10,产业,-,,,-,-,-,-,-
深圳市爱施德股份有限公司,AA 展望:稳定,东方金诚国际信用评估有限公司,深圳市神州通投资集团有限公司(持股52.5%),技术产品经销商,民营企业,6/10,产业,-,,专业零售,-,-,-,-,-
福建七匹狼集团有限公司,AA+ 展望:稳定,上海新世纪资信评估投资服务有限公司,周永伟(持股37.82%),服装、服饰与奢侈品,民营企业,6/10,产业,服装传统业务转型至金融、投资领域，不确定性依旧较大；,,综合,电力、天然气、金融等。能源行业受经济景气度影响较大，金融行业关注政策变动,周永伟（持股37.82%）为公司控股股东和实际控制人，公司另外两个自然人股东为其家族成员（兄弟关系），公司100%股权为其家族持有。现任董事长为周永伟。（股东持股比例接近，不排除股权纷争）,公司以服装生产销售为核心业务，涉及房地产、投资、融资租赁等领域，旗下共有51家直接或间接控股的子公司，核心业务主体为上市公司七匹狼，公司持有其34.29%的股份，。2016年公司加快房地产业务。公司近年进行了大规模的股权投资，截止2018年一季度末，账面价值高达74亿，主要投资对象为国泰君安、阳光保险、深创投、瑞誉金合等等；近三年公司收入保持增长，毛利规模呈现上升。但需要关注的是随着电商营销的冲击，公司传统的线下直营店模式面临困境，房地产业务起步较晚，且占用公司大量资金，股权投资业务存在较大的价值波动风险。,"公司财务规模尚可，但资产中有形资产占比下降；证券投资导致股权类资产规模较大，目前市场环境下波动较大；公司16-17年房地产销售结转销售较多，18年继续大规模结转，释放了较多利润，关注未来利润支撑点。
18年3季度负债率49%，刚性债务以短期借款和应付债券为主，关注债券的集中兑付风险。",股权投资风险，房地产业务风险
爱尔医疗投资集团有限公司,AA 展望:稳定,上海新世纪资信评估投资服务有限公司,陈邦(持股79.99%),医疗保健技术,民营企业,6/10,产业,-,,医疗服务,-,-,-,-,-
成都光华资产管理有限公司,-,-,-,资产管理与托管银行,-,6/10,产业,-,,,-,-,-,-,-
山东宏桥新型材料有限公司,AA+ 展望:稳定,联合资信评估有限公司,宏桥投资(香港)有限公司(持股100%),铝,外商独资企业,6/10,产业,电解铝行业龙头，成本优势显著，产品竞争力强，关注前期被做空以及净利润率持续下降。,,工业金属,2016年以来电解铝行业受益于供给侧改革、下游消费需求的不断回升、企业大规模弹性生产等利好，价格回升，对企业盈利改善支撑明显。展望后市电解铝价格走势，主要取决于供给侧改革推进力度。,自然人张士平为实际控制人，通过包括境外控股的多层股权关系进行实际控制。间接全资股东中国宏桥集团有限公司在香港上市；,"公司为我国最大的电解铝生产企业，拥有完整铝加工产业链，规模优势明显,截至19年3月末公司电解铝年产能为646万吨，公司电力自给率为85%左右，电力保障程度较高且电力成本较低（有行业内规模最大的自备电网、并以孤网运行，电力成本相对直供电和网电有一定优势），同时公司临海，因此铝土矿和氧化铝采购成本较低；公司主要产品为液态铝合金，有效节约了铸造成本以及下游厂商的重熔成本，并且铝水运输半径在50公里以内，因此吸引了众多铝型材制造企业在附近建厂，主要客户均在厂区附近。",2016-2018年公司营业收入分别为624亿元、973亿元和886亿元，净利润分别为80.37亿元、41.08亿元和36.31亿元，盈利能力有所下降，目前公司负债率适中，债务压力尚可。,环保限产政策；供给侧去产能；铝产品价格变化情况；
山东魏桥铝电有限公司,AA+ 展望:稳定,联合信用评级有限公司,山东宏桥新型材料有限公司(持股100%),铝,外商独资企业,6/10,产业,公司是我国最大的铝生产企业之一，具有较强的规模优势。2017年受沽空事件影响，外部融资环境一度恶化；但公司基本面仍良好，仍具有较强的竞争力。,,工业金属,铝行业受经济周期波动影响较大，铝价波动对公司收入规模、盈利水平影响较大；2017年，受环保限产、供给侧改革政策影响，公司关停部分产能并计提了大额减值准备；,山东宏桥新型材料有限公司为公司唯一股东；自然人张士平通过中国宏桥集团有限公司持有公司股权，并具有公司的实际经营决策权，是公司实际控制人。,公司是全球最大的铝产品制造商之一，拥有邹平、滨城、魏桥、惠民、阳信、沾化及北海七个生产基地。在氧化铝和铝土矿供应方面， 公司与几内亚、澳大利亚、马来西亚、巴西等国家的企业签署了采购铝矾土的长期合同。在下游销售方面， 公司采用液态铝合金的销售方式。 在生产规模、 成本控制、电力自给率和产业链布局等方面具有较强的综合产业竞争优势。2017 年公司的净利润同比减少 29.63%，主要系 2017 年计提较大金额的资产减值准备所致。2018年9月山东省发布自备电厂交叉补贴征收标准，未来公司电力成本将增加，给公司成本控制带来一定压力。,公司盈利水平看，2017 年公司资产计提大额资产减值损失导致净利润降幅较大， 但相较于同行业企业，整体盈利水平仍较高；至18年9月末公司总债务512亿，较16年末的539亿略有下降，预计2018年全年的EBITDA将超过160亿，对债务保障程度仍较高。,铝价波动；自备电厂的补贴政策调整；环保限产；
贵州轮胎股份有限公司,AA 展望:稳定,中诚信国际信用评级有限责任公司,贵阳市工业投资(集团)有限公司(持股25.33%),轮胎与橡胶,地方国有企业,6/10,产业,-,,汽车零部件,-,-,-,-,-
重庆建桥实业发展有限公司,AA 展望:稳定,中诚信国际信用评级有限责任公司,大渡口区国有资产监督管理委员会(持股100%),其他多元金融服务,地方国有企业,6/10,产业,-,,,-,-,-,-,-
山煤国际能源集团股份有限公司,AA+ 展望:稳定,中诚信证券评估有限公司,山西煤炭进出口集团有限公司(持股58.61%),煤炭与消费用燃料,地方国有企业,6/10,产业,-,,,-,-,-,-,-
扬州市运和城市建设投资集团有限公司,AA 展望:稳定,中诚信证券评估有限公司,扬州市广陵区人民政府国有资产监督管理办公室(持股100%),建筑与工程,地方国有企业,6/10,产业,-,,,-,-,-,-,-
西部矿业集团有限公司,AA+ 展望:稳定,中诚信国际信用评级有限责任公司,青海省政府国有资产监督管理委员会(持股78.97%),金属非金属,地方国有企业,6/10,产业,青海省属国企，青海省最大的有色金属矿业公司，西部矿业大股东，自身债务压力较大。,,黑色及有色,2017年初至今有色金属价格整体上涨，铜铝锌等涨幅在20%左右，对行业内企业盈利改善起到明显积极作用；预计随着供给侧改革落地和宏观经济改善，下游需求将企稳，但环保限产政策推进和企业各项生产成本的上升，企业盈利上升空间也有限；,公司是青海省国资委背景，核心子公司西部矿业为上市公司，外部支持能力较强；,青海省最大的有色金属矿业公司，有矿产资源优势，但主业盈利能力不强，2016年至今盈利逐年有所改善。后续仍有较大投资压力。,负债率偏高，应收款项规模较大，在建工程规模非常高，存在较大的资本支出压力，对外部融资依赖度较高，自身偿债能力仍较弱。,业绩稳定性；子公司股权变动；
成都博瑞投资控股集团有限公司,AA 展望:稳定,中诚信国际信用评级有限责任公司,成都商报社(持股95%),商业印刷,地方国有企业,6/10,产业,纸媒业务持续承压，业务转型基本都不成功；但旗下上市公子股权未质押，未使用授信余额较大，短期仍具有一定财务弹性，长期偿债风险主要看国有背景。,,包装印刷,纸媒行业受新媒体冲击很大，发展趋势持续向下；网络游戏行业缺乏稳定性，竞争激烈；小贷业务坏账风险高，管理难度大。,公司由成都商报社持股95%，实际控制人为成都市国资委。,公司主要业务运营主体为上市公司博瑞传媒（600880.SH），传统业务为纸媒印刷、广告代理、发行与投递等，受新媒体影响，传统纸媒需求持续下滑，相关业务收入均不断下降；2009年，公司开始进入网络游戏行业，但缺乏竞争力，收入同样持续下滑；2012年，公司进入小贷行业，但业务管控不力，2016年逾期未收回的贷款余额4.03亿元，占期末贷款总额（5.43亿元）的比例很高；此外，公司参与的熊猫小镇项目因政策调整而终止，前期支付5.08亿元给政府，目前已收回2.30亿元，剩余资金回收仍存不确定性。目前，公司停牌拟收购成都传媒集团的公交媒体相关资产。总体而言，公司传统业务持续承压，业务转型均不成功。,公司收入近年持续下滑，2017年预计大幅亏损；公司资产负债率不高，且授信余额较大，具有一定财务弹性；但母公司负债率较高，部分资产存在较大减值风险，财务稳健性比较弱。,传统业务下滑、业务转型、资金回收、小贷风险、资产收购
广东东阳光科技控股股份有限公司,AA+ 展望:稳定,联合资信评估有限公司,深圳市东阳光实业发展有限公司(持股27.97%),铝,民营企业,6/10,产业,民营上市公司，市场对集团层面有质疑，潜在不稳定因素较多；,,工业金属,电极箔、电子铝箔等行业竞争激烈，以价格战为主。,公司为民营上市企业，实际控制人张中能、郭梅兰夫妇，前三大股东深圳东阳光、乳源阳之光、东阳光投资分别持股30.59%，5.19%和3.69%，三者存在关联关系，对公司合计持股39.47%，其中97%的股权用于质押，反映资金链较为紧张，且公司实控人层面存在一定不稳定因素。,公司主营电子新材料、化工产品、煤矿开采业务，为国内化成箔、电子铝箔加工龙头企业，化工业务以氯碱化工、双氧水为主，行业竞争激烈致盈利能力偏弱，煤业子公司投入较大，建设周期较长，经营成效尚未体现，还因整合煤矿涉诉，另公司整体业务环节存在一定规模的关联交易。,2017年报显示，超过25亿的资产处于受限状态，涉及货币资金、应收票据、固定资产、无形资产等，资产受限比例较高，且实际控制方对公司的大多数股权处于受限状态，财务弹性较弱，有息债务规模重，短期有息债务占比高，存在一定流动性压力。,融资环境变动，关联交易，煤矿投产后绩效
上海新黄浦实业集团股份有限公司,AA 展望:负面,上海新世纪资信评估投资服务有限公司,上海新华闻投资有限公司(持股17.92%),房地产开发,地方国有企业,6/10,产业,-,,房地产开发,-,-,-,-,-
新大陆科技集团有限公司,AA 展望:稳定,中诚信证券评估有限公司,胡钢(持股61.69%),信息科技咨询与其它服务,民营企业,6/10,产业,公司是国内最大的条码支付设备供应商，非上市民企，有一定竞争优势，但近两年并购发展，后续业务整合风险有待观察。,,,随着政府的高度支持，“十二五”期间国内物联网产业快速发展，产业体系初具规模，仍处于快速发展阶段，竞争风险较大；,截至2018年6月末，股东为胡钢等14位自然人，其中前两大股东胡钢和王晶持股比例分别为61.69%和22.90%，公司实际控制人为胡钢。外部支持弱。,目前主营业务板块涵盖物联网和数字电视通信两大领域。 2017年两大板块收入占当年主营业务收入的比重分别为 74.93%和 5.92%。物联网板块主要运营主体为上市子公司新大陆，集支付终端销售、银行卡收单、商户运营维护服务及消费金融增值服务于一体的支付产业链布局，该业务对公司管理和内部控制有效性要求很高，潜在风险偏大；数字电视通信业务由子公司福建新大陆通信科技股份有限公司负责运营，主要提供包括终端接收设备、网络传输设备、相关软件， 以及为广电及电信运营商等行业客户提供网络建设服务等。 该业务为传统主业，增长空间有限。,随着近两年持续并购扩张，公司资产规模快速扩张，至18年6月总资产已达131亿，较15年68亿大幅增长。公司综合毛利率有所下滑，主要是电子支付产品及信息识读产品均委托外部加工，竞争能力欠佳。尽管公司主业毛利率仍处于30%左右的高位，但期间费用较高，整体盈利能力一般。好在现阶段公司总债务仅21亿，相比每年8.5亿EBITDA，债务压力不算重。,所在行业处于高速成长期，行业风险高；公司持续并购，业务整合风险高；
新疆前海集团有限责任公司,AA 展望:稳定,中诚信国际信用评级有限责任公司,新疆生产建设兵团第三师国有资产监督管理委员会(持股100%),综合类行业,地方国有企业,6/10,产业,-,,农业综合,-,-,-,-,-
顺发恒业股份公司,AA 展望:稳定,东方金诚国际信用评估有限公司,万向资源有限公司(持股61.33%),房地产开发,民营企业,6/10,产业,-,,房地产开发,-,-,-,-,-


呼伦贝尔城市建设投资(集团)有限责任公司,AA 展望:稳定,上海新世纪资信评估投资服务有限公司,呼伦贝尔市国有资产监督管理局(持股100%),建筑与工程,地方国有企业,6/10,产业,-,,,-,-,-,-,-
广西正润发展集团有限公司,AA 展望:负面,中证鹏元资信评估股份有限公司,广西投资集团有限公司(持股85%),电力,地方国有企业,6/10,产业,作为贺州老牌国企，期间费用控制水平差，随着债务规模的持续攀升，主业盈利能力持续恶化，债务周转依赖外部协调支持。股东变更为广西投资集团使资质有所增强。广西投资集团担保有一定增信作用。,,电力,公司是贺州市区域电力专营企业，不过以水电为主，受水域来水情况影响较大。经营环境有一定不确定性。,目前公司股东为广西投资集团持股85%，属省级国有企业。,公司拥有上市子公司桂东电力（600310.sh，控股50%，无受限情况），是贺州市 “厂网合一” 的地方电力企业，全部为水电机组，18年3月末装机容量38万千瓦，位于桂江和贺江流域。 年均发电量17亿千瓦时，机组利用小时数有所波动。公司供电业务收入基本稳定，但毛利率持续下滑，主要是加大了外购电采购力度。值得注意的是，公司在建电站37亿项目因未纳入规划被监管叫停，考虑已投资了70%，未来恢复投资运营取决于监管沟通进展，有较大不确定性；成品油贸易业务规模很大，但毛利率很低。,公司收入增长主要来自贸易业务规模的提升，整体盈利仍较为依赖电力业务，每年约7亿左右EBITDA。不过随着公司债务规模的持续攀升，期间费用持续上升，主业盈利能力很弱，持续多年亏损。债务周转依赖外部支持。,监管叫停项目恢复投资的进展；债务持续攀升的同时盈利能力持续下滑；
启迪环境科技发展股份有限公司,AA+ 展望:稳定,中诚信国际信用评级有限责任公司,启迪科技服务有限公司(持股16.56%),环境与设施服务,中央国有企业,6/10,产业,公司主业具有明显竞争力，但回款效率低，资金占用明显，有一定流动性压力；,,环保工程及服务,固废处置及城市水务业务均为弱周期行业，国家支持较强行业发展前景良好；该行业资金投入大且回收期长，融资优势是行业竞争的关键要素之一,公司是清华控股集团控股29%，实际控制人为教育部。外部支持较强,公司主营固废处理和水务业务。固废处理主要为相关项目的建设安装及方案设计咨询，来源包括建设收入和约定时间内的营运收入。水务则为污水处理和自来水供应。产业链较为完整，技术优势明显，主业盈利能力较强,应收账款回收进度对公司流动性影响较大，考虑公司的项目多为市政公用事业相关，回收应有一定保证；公司已逐渐转为重资产运营的模式，转型效果有待持续观察；公司以短期借款为主，与项目周期匹配度不高，流动性压力偏大,债务结构和业务模式不匹配

如东县民泰城乡建设工程有限公司,AA 展望:稳定,中诚信证券评估有限公司,如东县投资管理办公室(持股100%),建筑与工程,地方国有企业,6/10,产业,-,,,-,-,-,-,-
包头市青山住房发展建设有限公司,-,-,-,房地产经营公司,地方国有企业,6/10,产业,-,,,-,-,-,-,-
江苏兴海港务有限公司,AA 展望:稳定,中诚信证券评估有限公司,响水县国有资产管理委员会办公室(持股100%),建筑与工程,地方国有企业,6/10,产业,-,,,-,-,-,-,-
红河哈尼族彝族自治州水利水电投资有限公司,AA 展望:稳定,中诚信证券评估有限公司,红河发展集团有限公司(持股78.12%),水务,地方国有企业,6/10,产业,-,,,-,-,-,-,-
南京栖霞建设股份有限公司,AA 展望:稳定,上海新世纪资信评估投资服务有限公司,南京栖霞建设集团有限公司(持股34.37%),房地产开发,地方国有企业,6/10,产业,公司地产业务和项目集中，规模较小，抗风险能力不强。栖霞国资担保，政府信用得到加强，但或受南京新港担保事件影响。,,房地产开发,地产行业政策收紧，行业拐点已现，区域分化继续，部分地区存在去化压力。,上市地方国企，栖霞建设（600533.SH）；控股股东栖霞建设集团持股34.37%，实际控制人为南京栖霞国资。控股东股权大比例质押（超过7成），关注平仓风险。,公司房地产业务主要集中在南京和无锡，少量保障房业务；近年销售额低位波动，自持物业规模不大，小贷业务风险较大。,公司财务规模一般，19年3月末持有棕榈股份11.87%、河北银行3.71%；债务规模较大，财务杠杆偏高；近年销售放缓导致收现比水平较弱；盈利能力一般，净利润规模偏弱；利息保障倍数水平较低，整体存在偿债压力。,区域集中风险、项目集中风险、偿债压力
北京供销社投资管理中心,AA+ 展望:稳定,中诚信国际信用评级有限责任公司,北京市供销合作总社(持股100%),百货商店,地方国有企业,6/10,产业,公司为北京供销体系企业，具有一定区域市场认可度，但需关注长期债务偿还能力，多笔投资涉及纠纷反应内部管理存在问题。,,专业零售,农业流通领域历史上计划体制浓厚，近年行业的政策改革不断，需关注其对供销体系的整体影响。,北京市供销合作总社为唯一控股股东和实际控制人，但存在内部人控制情况，管理略差,公司承担着北京市化肥、农药、农膜等重要农业生产资料的供应和救灾、储备任务，销售网点遍布北京郊区和河北周边地区。经历多年发展，公司销售板块中，农资产品占比不断下降，“百花”品牌效应下，蜂产品占比增加。持有型物业371处共计125.16万平方米，分布北京市内各区，资产经营租赁业务稳中向好。公司尚有酒店以及小贷业务，规模不大。2017年公司实现收入75亿，实现净利润3.24亿，同比保持增长。2018年1-9月，公司收入64.48亿元，净利润2.61亿元。,公司资产中应收类占比较高，盈利能力偏弱，利润主要来自投资净收益；供销体系财务杠杆很高，公司负债率在体系内处于较好水平，负债率68.24%（18/09/30）；考虑到公司盈利和现金流疲弱，债券近期集中到期，仍需关注公司的债务压力。,债务压力、小贷业务风险

湖州申太建设发展有限公司,AA 展望:稳定,东方金诚国际信用评估有限公司,湖州吴兴城市投资发展集团有限公司(持股100%),建筑与工程,地方国有企业,6/10,产业,-,,,-,-,-,-,-
